2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",587,8341,20210622,"ABSENTEE"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",855,8341,20210622,"ADVANCED VOTING"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",334,8341,20210622,"ELECTION DAY"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",3,8341,20210622,"PROV"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JO JORGENSEN","LIBERTARIAN",5,8341,20210622,"ABSENTEE"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JO JORGENSEN","LIBERTARIAN",26,8341,20210622,"ADVANCED VOTING"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JO JORGENSEN","LIBERTARIAN",5,8341,20210622,"ELECTION DAY"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","JO JORGENSEN","LIBERTARIAN",0,8341,20210622,"PROV"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","DONALD J TRUMP","REPUBLICAN",890,8341,20210622,"ABSENTEE"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3874,8341,20210622,"ADVANCED VOTING"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","DONALD J TRUMP","REPUBLICAN",1753,8341,20210622,"ELECTION DAY"
2020,"GEORGIA","GA","APPLING","13001","PRESIDENT","DONALD J TRUMP","REPUBLICAN",9,8341,20210622,"PROV"
2020,"GEORGIA","GA","ATKINSON","13003","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",130,3155,20210622,"ABSENTEE"
2020,"GEORGIA","GA","ATKINSON","13003","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",445,3155,20210622,"ADVANCED VOTING"
