                                         GEOID  votes_dem  votes_rep  ...  index_right  District  id
2981                                12073-2358        173        110  ...            1         2   2
2984                                 12013-101        146        678  ...            1         2   2
2986                                 12013-102         95        469  ...            1         2   2
2991                                12073-2363        282        239  ...            1         2   2
2992                                 12131-360         97        493  ...            1         2   2
2993                                12073-2365        879       1987  ...            1         2   2
3001                                12073-2366        111        177  ...            1         2   2
3009                                12073-4101        746        452  ...            1         2   2
3011                                12073-4103       1433       1140  ...            1         2   2
3012                                 12131-350         95        525  ...            1         2   2
3013                                12073-4109        116         93  ...            1         2   2
3015                                12073-4105        116         16  ...            1         2   2
3016                                12073-4107        239        156  ...            1         2   2
3017                                12073-4106         14          0  ...            1         2   2
3018                                12073-1303        341        127  ...            1         2   2
3023                                12073-1302        659        381  ...            1         2   2
3025                                12073-2380        140         40  ...            1         2   2
3026                                12073-1301        632        120  ...            1         2   2
3031                                 12131-340        233        544  ...            1         2   2
3033                                12073-1315        189         10  ...            1         2   2
3035                                12073-1314        152        129  ...            1         2   2
3036                                12073-1317        978         51  ...            1         2   2
3038                                12073-1311        153          4  ...            1         2   2
3041                                12073-1313       1871        265  ...            1         2   2
3055                                12073-1309       1060         30  ...            1         2   2
3056                                 12131-330        176       1000  ...            1         2   2
3062                                12073-1327        623         40  ...            1         2   2
3065                                12073-1321       2529        207  ...            1         2   2
3073                                12073-1319       1054         41  ...            1         2   2
3101                                   12037-5        318       1076  ...            1         2   2
3105                                   12037-6        138        393  ...            1         2   2
3106                                   12037-3        708        466  ...            1         2   2
3107                                   12037-4        166        170  ...            1         2   2
3109                                   12037-1        237       1197  ...            1         2   2
3110                                   12037-2        114        218  ...            1         2   2
3127                                   12037-7        284        509  ...            1         2   2
3128                                   12037-8        155        646  ...            1         2   2
3133                                12073-1351        104         28  ...            1         2   2
3134                                12073-1353        128         36  ...            1         2   2
3135                                12073-1359        116         22  ...            1         2   2
3139                                12073-1355       1140        182  ...            1         2   2
3140                          12079-08-PINETTA        207        663  ...            1         2   2
3203                                   12047-8        189        970  ...            1         2   2
3204                                   12047-7        213        419  ...            1         2   2
3211                                  12133-08        318        888  ...            1         2   2
3212                                  12133-09        139        655  ...            1         2   2
3213                                  12133-15        180        795  ...            1         2   2
3216                                  12133-11        126        185  ...            1         2   2
3218                                  12133-12        210       1522  ...            1         2   2
3230                                  12133-06        227        259  ...            1         2   2
3231                      12129-04-SMITH CREEK         20        168  ...            1         2   2
3232                                  12133-07        174       1007  ...            1         2   2
3234                                  12133-04        512       2264  ...            1         2   2
3236                                  12133-05        210        956  ...            1         2   2
3238                                  12133-02         59        735  ...            1         2   2
3240                                  12133-03         51        425  ...            1         2   2
3241                                  12133-01        141        185  ...            1         2   2
3411                           12077-5-HOSFORD         81        418  ...            1         2   2
3413                                12073-1362         48         13  ...            1         2   2
3416                                12073-1361        711        192  ...            1         2   2
3476                      12129-08-SHELL POINT        233        546  ...            1         2   2
3603                                12073-3101        937        541  ...            1         2   2
3606                                12073-3107        658        340  ...            1         2   2
3607                                12073-3109        476        235  ...            1         2   2
3608                                12073-3104        363        188  ...            1         2   2
3609                                12073-3103        838        559  ...            1         2   2
3616                            12079-09-ERIDU         99        131  ...            1         2   2
3620                                12073-3110        952        474  ...            1         2   2
3709                                12073-4405        791        951  ...            1         2   2
3710                                12073-4408        781        828  ...            1         2   2
3711                                12073-4401        301        311  ...            1         2   2
3713                                12073-4403        599        787  ...            1         2   2
3729                                12073-1205        787        169  ...            1         2   2
3731                                12073-1203       1544        361  ...            1         2   2
3738                                 12013-202        144        639  ...            1         2   2
3741                                 12013-201         83        723  ...            1         2   2
3766                                12073-1230        350        103  ...            1         2   2
3775                                12073-2503        164         52  ...            1         2   2
3776                                12073-2502        590        199  ...            1         2   2
3777                                12073-2504        454         79  ...            1         2   2
3781                                12073-4453        539        726  ...            1         2   2
3782                                12073-4455       1012       1439  ...            1         2   2
3784                                12073-4451        439        351  ...            1         2   2
3785                                12073-4457         57         55  ...            1         2   2
3786                                12073-4456         95        104  ...            1         2   2
3787                                12073-4459       1528       1955  ...            1         2   2
3788                                12073-4458        441        622  ...            1         2   2
3790                                12073-2513        835        246  ...            1         2   2
3791                                12073-2511       2239        332  ...            1         2   2
3794                                12073-2507       2045        247  ...            1         2   2
3796                                12073-2506       1302        498  ...            1         2   2
3797                                12073-2509        943        211  ...            1         2   2
3803                                12073-4461        916       1162  ...            1         2   2
3812                             12129-07-IVAN        851       2166  ...            1         2   2
4019                                  12045-08         24        162  ...            1         2   2
4022                                  12045-09        119        395  ...            1         2   2
4027                                  12045-04        600        516  ...            1         2   2
4028                                  12045-05        206       1147  ...            1         2   2
4029                                  12045-06         31        175  ...            1         2   2
4030                                  12045-07        223        461  ...            1         2   2
4034                                  12045-01        241       1451  ...            1         2   2
4036                                  12045-02        248        872  ...            1         2   2
4037                                  12045-03        216        636  ...            1         2   2
4051                      12059-7-WEST BONIFAY        161       1356  ...            1         2   2
4097                                  12045-10         77        298  ...            1         2   2
4106                                 12131-540        770       1633  ...            1         2   2
4136                                 12131-530       1391       2613  ...            1         2   2
4165                                 12131-520       2135       5192  ...            1         2   2
4169                                12073-1251         58          6  ...            1         2   2
4174                                12073-1259         33         52  ...            1         2   2
4179                                12073-1255        516        194  ...            1         2   2
4181                                12073-1258          0          0  ...            1         2   2
4183                                12073-1257        201        374  ...            1         2   2
4204                              12059-6-NOMA        143       1810  ...            1         2   2
4437                       12077-2-LAKE MYSTIC         96        105  ...            1         2   2
4440                                   12067-5        169        302  ...            1         2   2
4445                                   12067-2         72        507  ...            1         2   2
4447                                   12067-1         76        675  ...            1         2   2
4531                          12079-11-MADISON        513        286  ...            1         2   2
4605                                12073-1502        497        136  ...            1         2   2
4607                                12073-1501        630         89  ...            1         2   2
4609                                12073-1503       1381        222  ...            1         2   2
4636                                12073-1505       1034        140  ...            1         2   2
4638                                12073-1507       1123        692  ...            1         2   2
4669                  12129-01-WAKULLA STATION        699       1593  ...            1         2   2
4771                                  12029-11         46        309  ...            1         2   2
4806                           12129-06-MEDART        255       1032  ...            1         2   2
4826                                12073-5101         71         35  ...            1         2   2
4827                                12073-5103        686        191  ...            1         2   2
4832                                12073-5105       1840        720  ...            1         2   2
4833                                12073-5107        241        131  ...            1         2   2
4852                                12073-5115       1042        476  ...            1         2   2
4857                                12073-5110        831        333  ...            1         2   2
4955                                  12065-01        211        322  ...            1         2   2
4957                                  12065-02        100        189  ...            1         2   2
4959                                  12065-03        118        124  ...            1         2   2
4961                                  12065-04        245        450  ...            1         2   2
4964                                  12065-05        593        221  ...            1         2   2
4965                                  12065-06        321        257  ...            1         2   2
4967                                  12065-07        348        338  ...            1         2   2
4969                                  12065-08        438        406  ...            1         2   2
4972                                  12065-09        309        383  ...            1         2   2
5013                                  12065-10        306        373  ...            1         2   2
5016                                  12065-11        288        480  ...            1         2   2
5020                                  12065-12        247        391  ...            1         2   2
5023                                  12065-13         46         98  ...            1         2   2
5024                                  12065-14         98         45  ...            1         2   2
5025                                  12065-15        173        342  ...            1         2   2
5027                                  12065-16         56         60  ...            1         2   2
5029                                12073-5153        806        828  ...            1         2   2
5032                                12073-5154        247        294  ...            1         2   2
5113                          12079-01-MADISON        755        941  ...            1         2   2
5155                    12129-02-CRAWFORDVILLE       1482       3390  ...            1         2   2
5291                          12079-02-MADISON        254         71  ...            1         2   2
5293                           12077-6-TELOGIA         61        484  ...            1         2   2
5451                                 12013-501        127        519  ...            1         2   2
5454                                 12013-502         17        154  ...            1         2   2
5456                                 12013-503         49        348  ...            1         2   2
5518                                  12039-16        682        133  ...            1         2   2
5519                                  12039-17        782         49  ...            1         2   2
5520                                  12039-18        646        158  ...            1         2   2
5521                                  12039-19        532        575  ...            1         2   2
5522                                  12039-12        293        324  ...            1         2   2
5523                                  12039-13       1060         62  ...            1         2   2
5524                                  12039-14        430        339  ...            1         2   2
5526                                  12039-15        338        680  ...            1         2   2
5528                                  12039-10        277        136  ...            1         2   2
5529                                  12039-11        997        215  ...            1         2   2
5558                                  12039-09        757        510  ...            1         2   2
5559                                  12005-02        132        859  ...            1         2   2
5560                                  12005-03         90        479  ...            1         2   2
5563                                  12039-05       1932        182  ...            1         2   2
5565                                  12039-06        344        668  ...            1         2   2
5566                                  12005-01        220       1330  ...            1         2   2
5568                                  12039-07        544        214  ...            1         2   2
5570                                  12039-08        179        350  ...            1         2   2
5571                                  12039-01        679        474  ...            1         2   2
5572                                  12039-02       1284        581  ...            1         2   2
5573                                  12039-03        372        489  ...            1         2   2
5576                                  12039-04       2011        337  ...            1         2   2
5589                                  12005-08        688       2167  ...            1         2   2
5590                                  12005-09        796       2086  ...            1         2   2
5593                                  12005-06        497       2799  ...            1         2   2
5594                                  12005-07         75        400  ...            1         2   2
5596                                  12005-04        362       2130  ...            1         2   2
5597                                  12005-05        324       2286  ...            1         2   2
5598                                  12005-13        526       1702  ...            1         2   2
5599                                  12005-14        892       2556  ...            1         2   2
5600                                  12005-11       1343       3237  ...            1         2   2
5602                                  12005-12       1031       3035  ...            1         2   2
5605                                  12005-10        975       2867  ...            1         2   2
5630                                  12005-19        542        954  ...            1         2   2
5632                                  12005-17        774       2468  ...            1         2   2
5635                                  12005-18        415       1565  ...            1         2   2
5638                                  12005-15        549       2128  ...            1         2   2
5642                                  12005-16        210       1144  ...            1         2   2
5645                                  12005-24        384        885  ...            1         2   2
5646                                  12005-25        465       1328  ...            1         2   2
5648                                  12005-22        862       2314  ...            1         2   2
5649                                  12005-23       1117       2534  ...            1         2   2
5650                                  12005-20        338       1057  ...            1         2   2
5652                                  12005-21        784       2737  ...            1         2   2
5653                                  12039-23        377        182  ...            1         2   2
5655                                  12039-24        345         11  ...            1         2   2
5657                                  12039-25        228         71  ...            1         2   2
5662                                  12039-20        403        434  ...            1         2   2
5665                                  12039-21        257        161  ...            1         2   2
5668                                  12039-22        404        130  ...            1         2   2
5682                                  12005-28        548        975  ...            1         2   2
5684                                  12005-29        839       1188  ...            1         2   2
5687                                  12005-26        522       1583  ...            1         2   2
5689                                  12005-27        687       1754  ...            1         2   2
5690                                  12005-35        539       1137  ...            1         2   2
5692                                  12005-36        260        376  ...            1         2   2
5693                                  12005-33        802        443  ...            1         2   2
5694                                  12005-34        290        591  ...            1         2   2
5695                                  12005-31       1128       1866  ...            1         2   2
5697                                  12005-32       1010        138  ...            1         2   2
5700                                  12005-30        388        538  ...            1         2   2
5715                                  12005-39        788       2000  ...            1         2   2
5718                                  12005-37        910       1305  ...            1         2   2
5720                                  12005-38        383        826  ...            1         2   2
5722                                  12005-44        205        591  ...            1         2   2
5725                                  12005-42        298        773  ...            1         2   2
5728                                  12005-43        458        861  ...            1         2   2
5730                                  12005-40        537        925  ...            1         2   2
5732                                  12005-41        631       1180  ...            1         2   2
5787                                  12063-10        675        855  ...            1         2   2
5788                                  12063-11        393       1447  ...            1         2   2
5790                                  12063-12        506       1080  ...            1         2   2
5791                                  12063-13        399        335  ...            1         2   2
5792                         12059-4-BETHLEHEM        127       1152  ...            1         2   2
5810                                  12063-14        429       1586  ...            1         2   2
5827                                  12063-01        451        859  ...            1         2   2
5828                                  12063-02        654        291  ...            1         2   2
5841                                  12063-03        805       1885  ...            1         2   2
5842                                  12063-04        502       2258  ...            1         2   2
5844                                  12063-05        124        422  ...            1         2   2
5845                                  12063-06       1026        940  ...            1         2   2
5847                                  12063-07        466       1854  ...            1         2   2
5848                                  12063-08         93        702  ...            1         2   2
5849                                  12063-09        243        974  ...            1         2   2
0                                     12123-10         90        474  ...            2         3   3
4                                     12123-11         43        567  ...            2         3   3
53                        12075-13-CHIEFLAND I        476       1114  ...            2         3   3
79                             12003-4B-TAYLOR         35        486  ...            2         3   3
89                                    12123-05        114        683  ...            2         3   3
91                                    12123-04          9        117  ...            2         3   3
118                                 12083-4590       1490       1022  ...            2         3   3
145                                 12083-4580       1520        982  ...            2         3   3
162                                 12083-4570        583        987  ...            2         3   3
176                                 12083-4560       1186        795  ...            2         3   3
188                                 12083-4550        904        619  ...            2         3   3
201                                 12083-4540        209        588  ...            2         3   3
206                                   12023-32        119        268  ...            2         3   3
208                                   12023-33        866       3018  ...            2         3   3
210                                   12023-34        310        504  ...            2         3   3
212                                   12023-41        554       1492  ...            2         3   3
214                                   12023-42         25        258  ...            2         3   3
215                                 12083-4530        325        521  ...            2         3   3
221                                 12083-4521         19        100  ...            2         3   3
228                                   12023-43        293       1429  ...            2         3   3
230                                   12023-44        397       1268  ...            2         3   3
232                                   12023-51        533       1619  ...            2         3   3
233                                   12023-52        419       2049  ...            2         3   3
234                                   12023-53        560        687  ...            2         3   3
235                         12075-04-CEDAR KEY        360        733  ...            2         3   3
236                                 12083-4520        689       1797  ...            2         3   3
239                                 12083-4510        803       1600  ...            2         3   3
246                                   12023-10        796        196  ...            2         3   3
249                                   12023-12        365         62  ...            2         3   3
251                                   12023-13         11         55  ...            2         3   3
252                                   12023-14        108        158  ...            2         3   3
253                                   12023-15        100        423  ...            2         3   3
254                                   12023-16        530       1105  ...            2         3   3
255                                   12023-17        396        651  ...            2         3   3
259                                 12083-4500        575       1149  ...            2         3   3
265                                   12023-21        297       1047  ...            2         3   3
268                                   12023-22        337       1341  ...            2         3   3
272                                   12023-23       1100       3521  ...            2         3   3
278                            12003-4A-BAXTER          8        173  ...            2         3   3
280                                   12023-31        544       2119  ...            2         3   3
347                                 12083-4710        750       1952  ...            2         3   3
400                                 12083-4700        134        434  ...            2         3   3
558                                 12083-1610        810       1676  ...            2         3   3
574                                 12083-1600        604       1407  ...            2         3   3
604                     12079-03-LEE MACEDONIA        289       1424  ...            2         3   3
607                   12003-2A-SOUTH MACCLENNY        508       2116  ...            2         3   3
684                         12075-01-BRONSON I        537       1211  ...            2         3   3
770                                   12023-54        254        566  ...            2         3   3
774                      12017-RED LEVEL (100)        541       1904  ...            2         3   3
906                                 12083-4690        737       1492  ...            2         3   3
922                                 12083-4680        532       1052  ...            2         3   3
925                       12075-05-WILLOW SINK        469       2130  ...            2         3   3
928                                   12121-10        254       1155  ...            2         3   3
930                                   12121-11        241       1202  ...            2         3   3
931                                   12121-12        255       1385  ...            2         3   3
933                                   12121-13        259       1517  ...            2         3   3
935                                   12121-14        145        705  ...            2         3   3
936                                   12121-15        154        844  ...            2         3   3
937                                   12121-16        210       1056  ...            2         3   3
938                                 12083-4670       1380       1726  ...            2         3   3
946                         12017-HOLDER (200)        554       1766  ...            2         3   3
947                                   12121-01        908        638  ...            2         3   3
948                                   12121-02        385       1181  ...            2         3   3
949                                   12121-03        322        984  ...            2         3   3
950                                   12121-04        376       1459  ...            2         3   3
951                                   12121-05        248        900  ...            2         3   3
952                                   12121-06        186        985  ...            2         3   3
953                                 12083-4660        809       1330  ...            2         3   3
954                                   12121-07        149        630  ...            2         3   3
956                                   12121-08        160        772  ...            2         3   3
957                                   12121-09        233        997  ...            2         3   3
962                                 12083-4653        338        533  ...            2         3   3
963                                 12083-4654       1318       2056  ...            2         3   3
